iter	RMSE
0	57497.28652
1	57466.88836
2	57433.10132
3	57417.07871
4	57389.26062
5	57365.41419
6	57351.34125
7	57327.08217
8	57304.94839
9	57276.02549
10	57255.28944
11	57229.46311
12	57209.87711
13	57183.81106
14	57154.67709
15	57125.42853
16	57089.8237
17	57079.30967
18	57051.19389
19	57045.36372
20	57020.38025
21	57005.80732
22	56979.67732
23	56965.60627
24	56947.87022
25	56934.16027
26	56916.30057
27	56895.32781
28	56876.22378
29	56853.94504
30	56838.11808
31	56812.56504
32	56793.1022
33	56769.48741
34	56753.98423
35	56728.35605
36	56719.4569
37	56702.99907
38	56674.22457
39	56658.83341
40	56645.4974
41	56624.73873
42	56597.09269
43	56585.78964
44	56568.11189
45	56550.53464
46	56538.22679
47	56527.11441
48	56517.91337
49	56511.04047
50	56492.73467
51	56481.98544
52	56464.69276
53	56456.72236
54	56426.99008
55	56408.26107
56	56394.65664
57	56378.87615
58	56366.06763
59	56347.90625
60	56333.01926
61	56314.23997
62	56302.42698
63	56291.68523
64	56281.5036
65	56264.14229
66	56247.19928
67	56247.03248
68	56237.34494
69	56224.3679
70	56205.97002
71	56192.71384
72	56171.95305
73	56160.31211
74	56138.09363
75	56124.72825
76	56111.53978
77	56102.7014
78	56094.99262
79	56072.37431
80	56057.0393
81	56044.03167
82	56034.6106
83	56024.49351
84	56004.38736
85	55990.81517
86	55972.1596
87	55959.2471
88	55952.47286
89	55931.13362
90	55912.52172
91	55900.7463
92	55884.76258
93	55872.93334
94	55865.63509
95	55845.63168
96	55831.05773
97	55813.84558
98	55807.58156
99	55793.88531
100	55780.89677
101	55754.81101
102	55736.38525
103	55722.53173
104	55711.80073
105	55691.08293
106	55669.96811
107	55655.11779
108	55636.21517
109	55627.81771
110	55608.69647
111	55597.76678
112	55580.96873
113	55563.67361
114	55539.93823
115	55516.051
116	55496.49559
117	55485.51855
118	55471.82213
119	55465.06054
120	55456.65706
121	55438.99227
122	55428.39872
123	55410.56594
124	55392.2575
125	55383.52457
126	55367.76902
127	55360.7349
128	55350.03446
129	55335.9277
130	55326.34626
131	55319.19731
132	55304.49541
133	55285.93597
134	55275.40022
135	55264.46561
136	55249.92546
137	55237.68363
138	55217.78346
139	55210.16743
140	55206.59601
141	55199.20911
142	55178.59334
143	55164.93648
144	55158.45481
145	55146.03837
