iter	Passed	Remaining
0	3	3090
1	6	3011
2	8	2872
3	11	2904
4	15	3068
5	18	3019
6	20	2953
7	23	2950
8	26	2957
9	30	3048
10	34	3058
11	36	3043
12	40	3049
13	43	3028
14	46	3085
15	49	3060
16	52	3016
17	54	2971
18	56	2940
19	59	2906
20	62	2932
21	65	2909
22	67	2876
23	70	2851
24	72	2842
25	75	2817
26	78	2823
27	81	2825
28	83	2801
29	86	2782
30	88	2763
31	90	2748
32	94	2756
33	97	2757
34	99	2741
35	101	2730
36	104	2714
37	106	2699
38	109	2693
39	112	2706
40	115	2691
41	117	2683
42	120	2673
43	122	2666
44	125	2666
45	129	2679
46	131	2670
47	134	2662
48	136	2653
49	139	2643
50	142	2645
51	145	2650
52	148	2645
53	151	2646
54	153	2636
55	155	2627
56	159	2631
57	162	2632
58	164	2630
59	167	2622
60	169	2613
61	172	2607
62	176	2624
63	179	2626
64	182	2631
65	186	2637
66	189	2645
67	193	2658
68	197	2663
69	200	2666
70	204	2671
71	208	2687
72	211	2688
73	215	2690
74	218	2694
75	222	2700
76	225	2708
77	229	2707
78	232	2707
79	235	2702
80	238	2702
81	241	2706
82	245	2708
83	248	2714
84	252	2720
85	256	2726
86	261	2744
87	265	2747
88	268	2747
89	273	2761
90	277	2772
91	281	2776
92	284	2778
93	290	2800
94	294	2807
95	298	2809
96	302	2817
97	307	2834
98	311	2838
99	315	2838
100	322	2866
101	326	2875
102	329	2873
103	333	2871
104	338	2884
105	341	2883
106	345	2884
107	349	2882
108	360	2943
109	363	2942
110	367	2946
111	372	2956
112	376	2957
113	380	2956
114	385	2963
115	389	2971
116	393	2970
117	397	2969
118	402	2976
119	406	2981
120	410	2983
121	415	2991
122	420	2997
123	425	3005
124	429	3006
125	434	3014
126	439	3017
127	443	3020
128	448	3025
129	452	3028
130	455	3023
131	458	3017
132	463	3021
133	467	3022
134	471	3024
135	475	3019
136	478	3013
137	483	3019
138	488	3023
139	491	3017
140	494	3011
141	498	3012
142	503	3019
143	508	3021
144	511	3016
145	516	3021
146	519	3014
147	522	3009
148	526	3004
149	530	3006
150	535	3011
151	538	3005
152	540	2994
153	544	2990
154	548	2988
155	550	2979
156	553	2969
157	555	2960
158	557	2950
159	581	3052
160	586	3053
161	590	3056
162	596	3063
163	602	3073
164	607	3074
165	612	3079
166	617	3080
167	621	3080
168	627	3087
169	632	3088
170	636	3087
171	642	3094
172	647	3096
173	652	3095
174	657	3099
175	661	3099
176	666	3097
177	671	3099
178	676	3102
179	680	3100
180	684	3099
181	691	3106
182	702	3135
183	715	3172
184	726	3201
185	732	3207
186	740	3219
187	745	3221
188	748	3211
189	751	3202
190	755	3201
191	762	3208
192	766	3205
193	770	3199
194	775	3199
195	777	3190
196	780	3181
197	783	3171
198	786	3164
199	790	3162
200	793	3153
201	796	3145
202	799	3138
203	802	3132
204	807	3131
205	810	3122
206	813	3114
207	815	3105
208	818	3097
209	822	3094
210	825	3086
211	827	3076
212	830	3067
213	832	3057
214	836	3053
215	839	3047
216	841	3038
217	844	3029
218	846	3019
219	849	3012
220	853	3010
221	856	3001
222	858	2992
223	861	2983
224	863	2974
225	867	2970
226	870	2965
227	873	2956
228	875	2947
229	877	2938
230	880	2932
231	884	2928
232	887	2920
233	889	2912
234	892	2904
235	894	2896
236	897	2887
237	900	2883
238	903	2875
239	905	2867
240	907	2858
241	910	2850
242	912	2842
243	916	2839
244	918	2831
245	921	2823
246	923	2815
247	926	2808
248	928	2800
249	931	2795
250	934	2788
251	936	2780
252	939	2773
253	941	2766
254	944	2758
255	947	2754
256	950	2748
257	953	2741
258	956	2736
259	959	2730
260	962	2726
261	966	2722
262	969	2715
263	971	2709
264	974	2703
265	977	2697
266	981	2694
267	984	2687
268	986	2681
269	989	2674
270	991	2667
271	994	2660
272	997	2656
273	1000	2649
274	1002	2643
275	1005	2637
276	1008	2631
277	1011	2625
278	1014	2622
279	1018	2618
280	1021	2614
281	1025	2610
282	1029	2608
283	1033	2604
284	1036	2600
285	1040	2596
286	1044	2594
287	1047	2590
288	1051	2586
289	1055	2582
290	1058	2579
291	1063	2577
292	1067	2575
293	1070	2571
294	1075	2569
295	1079	2567
296	1083	2563
297	1086	2559
298	1090	2556
299	1094	2553
300	1097	2549
301	1101	2545
302	1105	2541
303	1109	2539
304	1112	2535
305	1116	2531
306	1119	2526
307	1122	2522
308	1126	2518
309	1129	2513
310	1132	2508
311	1135	2503
312	1138	2499
313	1143	2497
314	1146	2492
315	1149	2487
316	1152	2483
317	1156	2480
318	1161	2479
319	1164	2474
320	1167	2469
321	1170	2464
322	1175	2464
323	1179	2460
324	1182	2456
325	1185	2451
326	1191	2452
327	1194	2447
328	1197	2442
329	1200	2437
330	1203	2432
331	1208	2431
332	1211	2426
333	1214	2421
334	1216	2414
335	1218	2408
336	1223	2406
337	1226	2402
338	1229	2397
339	1232	2391
340	1234	2385
341	1240	2385
342	1243	2381
343	1245	2375
344	1248	2369
345	1250	2363
346	1256	2364
347	1259	2359
348	1262	2354
349	1264	2348
350	1268	2345
351	1273	2343
352	1276	2339
353	1278	2333
354	1281	2328
355	1286	2326
356	1290	2323
357	1292	2318
358	1295	2312
359	1297	2307
360	1301	2304
361	1304	2299
362	1307	2293
363	1309	2287
364	1312	2282
365	1314	2277
366	1318	2274
367	1321	2269
368	1324	2264
369	1326	2259
370	1329	2254
371	1334	2252
372	1337	2247
373	1340	2243
374	1343	2239
375	1347	2236
376	1351	2233
377	1354	2229
378	1358	2225
379	1361	2222
380	1366	2220
381	1370	2217
382	1375	2215
383	1378	2211
384	1383	2209
385	1387	2206
386	1391	2203
387	1396	2202
388	1400	2200
389	1404	2196
390	1408	2193
391	1412	2190
392	1416	2188
393	1420	2185
394	1424	2182
395	1429	2179
396	1432	2176
397	1436	2172
398	1439	2168
399	1443	2164
400	1447	2161
401	1450	2157
402	1454	2154
403	1457	2150
404	1461	2147
405	1465	2143
406	1469	2140
407	1472	2136
408	1477	2134
409	1481	2131
410	1485	2128
411	1488	2124
412	1493	2122
413	1496	2118
414	1500	2115
415	1504	2111
416	1507	2108
417	1512	2105
418	1516	2102
419	1520	2099
420	1524	2096
421	1528	2093
422	1532	2089
423	1535	2086
424	1539	2082
425	1543	2079
426	1546	2075
427	1550	2072
428	1554	2068
429	1558	2066
430	1562	2062
431	1566	2059
432	1569	2055
433	1575	2054
434	1579	2052
435	1583	2047
436	1586	2044
437	1591	2042
438	1595	2038
439	1598	2034
440	1600	2029
441	1603	2024
442	1607	2021
443	1610	2017
444	1613	2012
445	1616	2007
446	1618	2002
447	1627	2005
448	1630	2000
449	1632	1995
450	1634	1990
451	1639	1987
452	1645	1987
453	1648	1982
454	1651	1977
455	1656	1975
456	1660	1972
457	1662	1967
458	1665	1963
459	1668	1958
460	1673	1956
461	1676	1952
462	1679	1948
463	1683	1944
464	1688	1942
465	1692	1938
466	1695	1935
467	1698	1931
468	1704	1929
469	1707	1925
470	1711	1922
471	1714	1918
472	1718	1915
473	1722	1911
474	1725	1906
475	1728	1902
476	1730	1897
477	1734	1894
478	1738	1890
479	1740	1885
480	1743	1881
481	1745	1876
482	1748	1871
483	1752	1868
484	1755	1863
485	1757	1858
486	1759	1853
487	1762	1848
488	1765	1844
489	1769	1841
490	1772	1836
491	1774	1832
492	1778	1828
493	1781	1824
494	1785	1821
495	1788	1817
496	1791	1813
497	1794	1809
498	1798	1806
499	1802	1802
500	1805	1798
501	1809	1795
502	1813	1791
503	1817	1788
504	1820	1784
505	1824	1781
506	1828	1778
507	1832	1775
508	1836	1771
509	1840	1768
510	1844	1764
511	1849	1762
512	1852	1758
513	1856	1755
514	1860	1752
515	1865	1749
516	1877	1753
517	1885	1754
518	1888	1750
519	1892	1746
520	1897	1744
521	1901	1741
522	1904	1737
523	1907	1732
524	1911	1729
525	1914	1725
526	1919	1722
527	1923	1719
528	1927	1715
529	1931	1712
530	1933	1707
531	1936	1703
532	1938	1698
533	1941	1694
534	1946	1692
535	1949	1687
536	1951	1682
537	1954	1678
538	1956	1673
539	1959	1669
540	1963	1665
541	1965	1660
542	1967	1656
543	1970	1651
544	1972	1646
545	1975	1642
