iter	RMSE
0	224.4010743
1	224.3177331
2	224.1837782
3	224.0789141
4	224.0369207
5	223.9354257
6	223.8270054
7	223.7338989
8	223.6671716
9	223.6030296
10	223.5004114
11	223.4229404
12	223.3612631
13	223.2999741
14	223.1789297
15	223.0726894
16	223.0034902
17	222.9475814
18	222.8866796
19	222.8204664
20	222.7240965
21	222.6746676
22	222.6167337
23	222.549641
24	222.4993049
25	222.4254123
26	222.3821877
27	222.2919477
28	222.232639
29	222.1656643
30	222.0776384
31	222.0123381
32	221.9535501
33	221.8433499
34	221.8082056
35	221.7113655
36	221.6406989
37	221.5631035
38	221.4698797
39	221.3885544
40	221.3350888
41	221.2750977
42	221.212124
43	221.1429394
44	221.053876
45	220.9721242
46	220.905745
47	220.8199011
48	220.7634112
49	220.6939101
50	220.6348949
51	220.5905576
52	220.5270446
53	220.4709885
54	220.3738464
55	220.3491809
56	220.2902723
57	220.2088179
58	220.1719646
59	220.1209139
60	220.0607551
61	219.9280098
62	219.8750158
63	219.8008447
64	219.7672577
65	219.7268414
66	219.665962
67	219.6151636
68	219.5150036
69	219.4116659
70	219.3224608
71	219.2574705
72	219.142341
73	219.0931181
74	219.0243709
75	218.9756563
76	218.9126313
77	218.8527163
78	218.7696823
79	218.703533
80	218.6479328
81	218.5503123
82	218.4707551
83	218.4208161
84	218.3541148
85	218.2999727
86	218.2462726
87	218.1910273
88	218.1103572
89	218.027074
90	217.9590205
91	217.9001488
92	217.8222623
93	217.7534596
94	217.6549649
95	217.5830518
96	217.553442
97	217.5046912
98	217.4338347
99	217.3547514
100	217.316234
101	217.2498318
102	217.1847394
103	217.1510996
104	217.0954042
105	217.0587432
106	216.9649477
107	216.9076091
108	216.8686941
109	216.8056525
110	216.7117172
111	216.634692
112	216.6021534
113	216.5434402
114	216.4762197
115	216.422474
116	216.356115
117	216.2857218
118	216.2382725
119	216.1740025
120	216.1176531
121	216.0608613
122	215.9508685
123	215.8941453
124	215.8391
125	215.765276
126	215.7425553
127	215.6871068
128	215.6504039
129	215.5800842
130	215.5053599
131	215.4413822
132	215.3759306
133	215.3101042
134	215.2474468
135	215.2026488
136	215.127834
137	215.0856367
138	215.0004257
139	214.9330845
140	214.8579002
141	214.7701127
142	214.7074639
143	214.6226482
144	214.5663419
145	214.4485434
146	214.4020077
147	214.3218551
148	214.2519061
149	214.214621
150	214.1736682
151	214.0851408
152	214.0346801
153	213.9783681
154	213.8934965
155	213.8150341
156	213.7707848
157	213.7130032
158	213.6710801
159	213.6380436
160	213.5919243
161	213.5419315
162	213.4941465
163	213.4004033
164	213.3522308
165	213.2966293
166	213.2302949
167	213.1635452
168	213.1273057
169	213.072924
170	212.9955219
171	212.903148
172	212.8331415
173	212.7335134
174	212.6113116
175	212.5633152
176	212.5184806
177	212.4798072
178	212.4434806
179	212.3844344
180	212.356264
181	212.3126176
182	212.2211288
183	212.1609625
184	212.1174377
185	212.0635765
186	212.0186234
187	211.9742562
188	211.9386287
189	211.8844321
190	211.8193703
191	211.7775403
192	211.738657
193	211.6590562
194	211.5960947
195	211.5225931
196	211.4552971
197	211.392707
198	211.3528529
199	211.2929318
200	211.2428287
201	211.2109713
202	211.1607683
203	211.1090494
204	211.0527452
205	211.0167695
206	210.9507515
207	210.923345
208	210.8767323
209	210.7873519
210	210.733586
211	210.6399405
212	210.5866829
213	210.5572329
214	210.480899
215	210.4108838
216	210.3434515
217	210.2755966
218	210.2437141
219	210.1781146
220	210.1040191
221	210.0563898
222	210.0130431
223	209.9286834
224	209.8814189
225	209.8344143
226	209.7747871
227	209.7269759
228	209.6622424
229	209.6045112
230	209.5539698
231	209.4904875
232	209.4594898
233	209.3770559
234	209.334162
235	209.297884
236	209.2548512
237	209.2229107
238	209.1715424
239	209.1140595
240	209.0594177
241	209.0101638
242	208.972056
243	208.9281446
244	208.8805704
245	208.7838908
246	208.7493438
247	208.717133
248	208.6569096
249	208.623249
250	208.5630637
251	208.5171711
252	208.4608478
253	208.3783668
254	208.3056734
255	208.2339276
256	208.1591899
257	208.130318
258	208.0365801
259	207.9269286
260	207.845552
261	207.78323
262	207.7056
263	207.6188963
264	207.5892538
265	207.5221156
266	207.4565321
267	207.4103217
268	207.3162193
269	207.2429513
270	207.2058728
271	207.1458911
272	207.0828315
273	207.0211921
274	206.9621595
275	206.9031439
276	206.8344803
277	206.7838554
278	206.7450761
279	206.6869606
280	206.6147488
281	206.5734087
282	206.5128224
283	206.4751325
284	206.4427062
285	206.3778983
286	206.3287795
287	206.2608013
288	206.2180873
289	206.1804716
290	206.1269395
291	206.0640392
292	206.023199
293	205.9630465
294	205.9143111
295	205.8399059
296	205.7605549
297	205.7217328
298	205.6466424
299	205.5797606
300	205.4994101
301	205.4441667
302	205.4121421
303	205.3693071
304	205.3015298
305	205.2674402
306	205.2212398
307	205.1592696
308	205.126653
309	205.0831175
310	205.0218745
311	204.9768597
312	204.9280156
313	204.8940736
314	204.8224265
315	204.769436
316	204.7315699
317	204.6557123
318	204.5968002
319	204.5614939
320	204.5266916
321	204.453997
322	204.3971248
323	204.3545298
324	204.3180072
325	204.27784
326	204.1939718
327	204.1660834
328	204.1203462
329	204.0770587
330	204.0317968
331	203.9840054
332	203.9349809
333	203.9021007
334	203.8595661
335	203.8349128
336	203.7878725
337	203.7057747
338	203.6677591
339	203.589949
340	203.5243522
341	203.5033598
342	203.477896
343	203.4481219
344	203.4043886
345	203.3449119
346	203.2865876
347	203.2547271
348	203.2165896
349	203.1863494
350	203.0973984
351	203.0440705
352	202.961646
353	202.8966283
354	202.863252
355	202.7952425
356	202.7449191
357	202.6766242
358	202.6145056
359	202.5705061
360	202.5189408
361	202.4821676
362	202.4149998
363	202.3476104
364	202.3020747
365	202.277727
366	202.2227882
367	202.1444186
368	202.0942294
369	202.0449137
370	201.9740818
371	201.9229908
372	201.8700329
373	201.8224943
374	201.7625627
375	201.7264399
376	201.6574454
377	201.6279453
378	201.5668337
379	201.4990923
380	201.4432806
381	201.3895097
382	201.3140058
383	201.2650927
384	201.2378894
385	201.2057274
386	201.1698708
387	201.1132113
388	201.0468894
389	201.0067123
390	200.9188313
391	200.8579498
392	200.8292702
393	200.7761219
394	200.7339424
395	200.6961771
396	200.6250065
397	200.5745332
398	200.5208103
399	200.4909137
400	200.4591527
401	200.441239
402	200.3865033
403	200.340665
404	200.2662247
405	200.2146904
406	200.1718664
407	200.1392505
408	200.0727588
409	200.0050772
410	199.9595432
411	199.8902098
412	199.8370452
413	199.7917113
414	199.7653673
415	199.704204
416	199.6767717
417	199.6278021
418	199.5717707
419	199.5076181
420	199.4550214
421	199.3836269
422	199.3283554
423	199.2578433
424	199.1920507
425	199.1591841
426	199.086398
427	199.0126228
428	198.97312
429	198.9297273
430	198.8803543
431	198.8392507
432	198.800596
433	198.7449221
434	198.6912967
435	198.6446495
436	198.6075321
437	198.5717026
438	198.542945
439	198.4853629
440	198.417776
441	198.3832995
442	198.3493656
443	198.3151824
444	198.2623692
445	198.239784
446	198.1777395
447	198.1349922
448	198.0824833
449	198.0530685
450	198.040271
451	197.9773715
452	197.9095325
453	197.8317088
454	197.7963326
455	197.7493235
456	197.6916339
457	197.6467914
458	197.5779416
459	197.5546259
460	197.4958348
461	197.4303742
462	197.3526617
463	197.3022985
464	197.2657447
465	197.2308359
466	197.1797176
467	197.1500918
468	197.1183559
469	197.0783221
470	197.0561648
471	197.0068432
472	196.9591835
473	196.904343
474	196.8543413
475	196.8329528
476	196.7917574
477	196.7439088
478	196.6897761
479	196.6426124
480	196.6133378
481	196.4993438
482	196.4613476
483	196.4188905
484	196.3854129
485	196.3510844
486	196.3105735
487	196.2550817
488	196.2062375
489	196.1388966
490	196.11518
491	196.0765605
492	196.0333348
493	195.9720999
494	195.9226149
495	195.8838254
496	195.8329819
497	195.774888
498	195.7353381
499	195.6878421
500	195.6620037
501	195.6387076
502	195.5888467
503	195.5395597
504	195.5091364
505	195.4664533
506	195.4102676
507	195.3840389
508	195.349627
509	195.3008276
510	195.2483376
511	195.2049034
512	195.1591597
513	195.1151562
514	195.0809748
515	195.0485357
516	195.0191926
517	194.963892
518	194.9179837
519	194.8639767
520	194.794543
521	194.7517533
522	194.7028963
523	194.5895978
524	194.5488185
525	194.5016147
526	194.4118671
527	194.3621317
528	194.3296448
529	194.2658881
530	194.20677
531	194.1548783
532	194.1246121
533	194.085634
534	194.0314108
535	193.9706579
536	193.9016267
537	193.8349753
538	193.7932992
539	193.7480083
540	193.7117157
541	193.6576823
542	193.6233378
543	193.5845524
544	193.5463185
545	193.4837777
546	193.4549637
547	193.3950891
548	193.3556
549	193.3215336
550	193.2664722
551	193.2187751
552	193.1634126
553	193.1333696
554	193.1075635
555	193.0583084
556	193.0292383
557	192.9736863
558	192.9292874
559	192.8756804
560	192.8311681
561	192.8027936
562	192.7559205
563	192.7164807
564	192.6768701
565	192.6448405
566	192.5823614
567	192.525638
568	192.488335
569	192.4425406
570	192.3986674
571	192.3632545
572	192.3257199
573	192.2900487
574	192.258975
575	192.2061876
576	192.1762983
577	192.1370832
578	192.1049193
579	192.055467
580	191.9838744
581	191.9432095
582	191.906648
583	191.8662157
584	191.8153817
585	191.7579892
586	191.6786015
587	191.6432021
588	191.6209815
589	191.5544874
590	191.5012086
591	191.4628571
592	191.418366
593	191.3865539
594	191.3181461
595	191.2734871
596	191.2233523
597	191.1706594
598	191.1213817
599	191.1129439
600	191.0416094
601	190.9969019
602	190.9787811
603	190.9207852
604	190.8751816
605	190.8471773
606	190.8017237
607	190.7418646
608	190.6510571
609	190.637019
610	190.5928547
611	190.5627773
612	190.5232314
613	190.4883023
614	190.4144526
615	190.3779696
616	190.3339436
617	190.2744883
618	190.2469104
619	190.1870991
620	190.1483281
621	190.086299
622	190.0545601
623	190.0256129
624	189.9809214
625	189.9375148
626	189.9049548
627	189.8735274
628	189.8234557
629	189.7817974
630	189.7355656
631	189.6998685
632	189.6585495
633	189.6158979
634	189.563612
635	189.5340635
636	189.4955376
637	189.4504886
638	189.4077795
639	189.3849165
640	189.3408164
641	189.2920655
642	189.258753
643	189.2212059
644	189.1933369
645	189.1443749
646	189.1164176
647	189.0997376
648	189.0557782
649	189.0153905
650	188.9627963
651	188.9036869
652	188.8597502
653	188.8242737
654	188.799926
655	188.7616577
656	188.7450384
657	188.6894911
658	188.6492414
659	188.6090518
660	188.5679179
661	188.5300918
662	188.5120146
663	188.4650609
664	188.4484796
665	188.4203329
666	188.365992
667	188.3084242
668	188.2883355
669	188.2512438
670	188.2148936
671	188.192352
672	188.1362981
673	188.1062136
674	188.0657173
675	188.0359537
676	187.9924464
677	187.9452115
678	187.9147591
679	187.8878995
680	187.8335831
681	187.7923442
682	187.7583624
683	187.723977
684	187.658955
685	187.6314088
686	187.5889551
687	187.5578411
688	187.5080271
689	187.4869466
690	187.4627303
691	187.4302018
692	187.4064614
693	187.3833916
694	187.3418434
695	187.3019737
696	187.2848359
697	187.2444718
698	187.2053088
699	187.1847774
700	187.1350258
701	187.0967967
702	187.0728541
703	187.0437995
704	187.006674
705	186.9633176
706	186.9302915
707	186.9025428
708	186.8812639
709	186.8238643
710	186.7994484
711	186.766294
712	186.7122582
713	186.6683026
714	186.6379425
715	186.5955724
716	186.5597834
717	186.5244709
718	186.4696809
719	186.4186827
720	186.3869057
721	186.336591
722	186.3015865
723	186.2789288
724	186.2361793
725	186.1860597
726	186.1559726
727	186.1185283
728	186.0735104
729	186.038387
730	186.0128809
731	185.9605992
732	185.9168781
733	185.891795
734	185.8615055
735	185.816629
736	185.7860624
737	185.7522827
738	185.7100614
739	185.6836272
740	185.6776188
741	185.5981308
742	185.5407537
743	185.5053535
744	185.4579413
745	185.4387751
746	185.3923408
747	185.3730913
748	185.3403496
749	185.322578
750	185.2698315
751	185.2432017
752	185.2088667
753	185.1643328
754	185.1113923
755	185.0427785
756	184.9961201
757	184.9653219
758	184.9443587
759	184.9133791
760	184.8831007
761	184.8398317
762	184.7813374
763	184.7449421
764	184.6889958
765	184.6585174
766	184.6291085
767	184.6019181
768	184.5906033
769	184.5277039
770	184.5073355
771	184.4375081
772	184.4188855
773	184.403088
774	184.3623962
775	184.3253556
776	184.2756706
777	184.2391418
778	184.1740221
779	184.1204886
780	184.1110923
781	184.0734766
782	184.0448676
783	183.9976706
784	183.9482472
785	183.9302902
786	183.8901924
787	183.8700498
788	183.8371554
789	183.8059922
790	183.7766241
791	183.7559141
792	183.7173824
793	183.6978749
794	183.6744274
795	183.6416505
796	183.6091611
797	183.5704389
798	183.5072451
799	183.4733179
800	183.423318
801	183.3929007
802	183.3519957
803	183.313865
804	183.2700751
805	183.2097917
806	183.1810673
807	183.1480914
808	183.1238424
809	183.0718777
810	183.0611689
811	183.0205852
812	182.9694212
813	182.9120789
814	182.8472977
815	182.8000145
816	182.7704028
817	182.7256694
818	182.6907238
819	182.6651453
820	182.6280042
821	182.5850785
822	182.5498937
823	182.5246301
824	182.4871849
825	182.4655754
826	182.4346981
827	182.4095278
828	182.3655131
829	182.3279117
830	182.2828944
831	182.2638516
832	182.2217654
833	182.1969625
834	182.1669363
835	182.148877
836	182.1300591
837	182.0849137
838	182.0446165
839	182.015708
840	181.9973671
841	181.952144
842	181.9024122
843	181.8495576
844	181.8383784
845	181.7961057
846	181.7749766
847	181.6873935
848	181.6522655
849	181.6158186
850	181.5691548
851	181.5474648
852	181.5269062
853	181.5001713
854	181.4448312
855	181.4003182
856	181.3715274
857	181.3458712
858	181.2985635
859	181.2738992
860	181.2419348
861	181.1838228
862	181.1515501
863	181.1264887
864	181.1024256
865	181.0535556
866	181.0203675
867	180.982801
868	180.9382953
869	180.89887
870	180.8623472
871	180.8220807
872	180.7775765
873	180.7490918
874	180.7290225
875	180.6842915
876	180.6589307
877	180.6260023
878	180.6015336
879	180.5580814
880	180.5065497
881	180.4945468
882	180.4628893
883	180.417347
884	180.4009503
885	180.3720325
886	180.3449926
887	180.3137244
888	180.2996284
889	180.2557463
890	180.2412762
891	180.1923247
892	180.1500481
893	180.1183088
894	180.0726016
895	180.0410655
896	179.993254
897	179.9408181
898	179.8950984
899	179.8700187
900	179.8392524
901	179.8109432
902	179.7865815
903	179.7472781
904	179.7384126
905	179.7051449
906	179.6423792
907	179.61292
908	179.5791804
909	179.5431553
910	179.4981291
911	179.4710549
912	179.437904
913	179.3963254
914	179.3328049
915	179.3085724
916	179.2794551
917	179.2378246
918	179.2136908
919	179.1776105
920	179.128786
921	179.0941553
922	179.0512839
923	179.0350628
924	179.0120625
925	178.9724313
926	178.916193
927	178.8908591
928	178.8498555
929	178.7920995
930	178.7568456
931	178.720351
932	178.6847583
933	178.6576923
934	178.634306
935	178.604882
936	178.5574598
937	178.5390642
938	178.501286
939	178.4785261
940	178.4520125
941	178.4139481
942	178.3906592
943	178.3625534
944	178.3205853
945	178.2885632
946	178.2518635
947	178.1979604
948	178.1795325
949	178.1662233
950	178.1391267
951	178.0863109
952	178.0440353
953	178.0304597
954	178.0038275
955	177.9741267
956	177.9309304
957	177.9103113
958	177.8762207
959	177.7942921
960	177.7600295
